iter	Passed	Remaining
1167	1167753	831824
1168	1168733	830810
1169	1169709	829793
1170	1170703	828789
1171	1171670	827767
1172	1172663	826762
1173	1173648	825753
1174	1174650	824754
1175	1175642	823749
1176	1176628	822740
1177	1177626	821739
1178	1178617	820733
1179	1179615	819732
1180	1180611	818730
1181	1181603	817725
1182	1182594	816719
1183	1183587	815715
1184	1184577	814709
1185	1185573	813707
1186	1186561	812699
1187	1187548	811691
1188	1188532	810680
1189	1189508	809665
1190	1190508	808665
1191	1191503	807663
1192	1192502	806663
1193	1193494	805658
1194	1194472	804644
1195	1195455	803633
1196	1196446	802628
1197	1197424	801614
1198	1198414	800609
1199	1199400	799600
1200	1200376	798585
1201	1201371	797582
1202	1202347	796567
1203	1203337	795562
1204	1204330	794558
1205	1205317	793550
1206	1206312	792548
1207	1207297	791539
1208	1208279	790528
1209	1209271	789524
1210	1210280	788531
1211	1211269	787524
1212	1212250	786513
1213	1213223	785497
1214	1214198	784482
1215	1215194	783480
1216	1216185	782476
1217	1217187	781478
1218	1218176	780472
1219	1219162	779464
1220	1220164	778467
1221	1221164	777467
1222	1222152	776461
1223	1223141	775455
1224	1224119	774442
1225	1225101	773432
1226	1226081	772421
1227	1227053	771405
1228	1228039	770397
1229	1229034	769395
1230	1230037	768398
1231	1231039	767401
1232	1232026	766394
1233	1233033	765400
1234	1234023	764395
1235	1235011	763388
1236	1236005	762386
1237	1237001	761385
1238	1237990	760380
1239	1238994	759383
1240	1240001	758389
1241	1240985	757380
1242	1241964	756369
1243	1242948	755361
1244	1243934	754354
1245	1244931	753353
1246	1245912	752343
1247	1246902	751338
1248	1247901	750339
1249	1248906	749343
1250	1249897	748340
1251	1250905	747345
1252	1251890	746338
1253	1252903	745347
1254	1253913	744355
1255	1254904	743351
1256	1255881	742338
1257	1256874	741335
1258	1257882	740342
1259	1258869	739335
1260	1259864	738334
1261	1260849	737326
1262	1261826	736314
1263	1262813	735309
1264	1263818	734313
1265	1264806	733308
1266	1265842	732330
1267	1266850	731336
1268	1267844	730334
1269	1268839	729333
1270	1269877	728356
1271	1270855	727345
1272	1271845	726340
1273	1272837	725337
1274	1273822	724330
1275	1274819	723330
1276	1275823	722333
1277	1276801	721323
1278	1277792	720319
1279	1278796	719322
1280	1279815	718335
1281	1280800	717328
1282	1281810	716334
1283	1282808	715335
1284	1283803	714334
1285	1284815	713342
1286	1285806	712339
1287	1286804	711339
1288	1287791	710333
1289	1288780	709328
1290	1289758	708318
1291	1290774	707328
1292	1291776	706330
1293	1292772	705330
1294	1293788	704340
1295	1294796	703346
1296	1295798	702348
1297	1296789	701345
1298	1297772	700337
1299	1298771	699338
1300	1299783	698346
1301	1300785	697348
1302	1301764	696339
1303	1302758	695337
1304	1303747	694333
1305	1304749	693335
1306	1305738	692330
1307	1306749	691338
1308	1307740	690335
1309	1308753	689343
1310	1309744	688340
1311	1310743	687341
1312	1311748	686345
1313	1312740	685342
1314	1313743	684345
1315	1314742	683346
1316	1315737	682345
1317	1316731	681343
1318	1317726	680342
1319	1318706	679333
1320	1319700	678331
1321	1320693	677330
1322	1321696	676332
1323	1322704	675338
1324	1323695	674335
1325	1324706	673342
1326	1325695	672338
1327	1326691	671337
1328	1327694	670340
1329	1328679	669334
1330	1329667	668330
1331	1330655	667325
1332	1331643	666321
1333	1332627	665315
1334	1333645	664325
1335	1334636	663322
1336	1335627	662319
1337	1336625	661320
1338	1337613	660315
1339	1338624	659322
1340	1339629	658326
1341	1340607	657317
1342	1341613	656321
1343	1342622	655327
1344	1343611	654323
1345	1344595	653317
1346	1345582	652312
1347	1346558	651302
1348	1347569	650309
1349	1348566	649309
1350	1349566	648311
1351	1350551	647305
1352	1351550	646306
1353	1352536	645301
1354	1353544	644307
1355	1354554	643313
1356	1355556	642315
1357	1356557	641317
1358	1357552	640317
1359	1358546	639316
1360	1359543	638316
1361	1360552	637321
1362	1361544	636319
1363	1362551	635324
1364	1363551	634326
1365	1364538	633321
1366	1365547	632327
1367	1366552	631331
1368	1367534	630324
1369	1368540	629328
1370	1369550	628334
1371	1370547	627335
1372	1371517	626322
1373	1372519	625325
1374	1373511	624323
1375	1374509	623324
1376	1375514	622327
1377	1376508	621326
1378	1377502	620325
1379	1378491	619322
1380	1379491	618323
1381	1380485	617322
1382	1381502	616331
1383	1382485	615326
1384	1383478	614324
1385	1384486	613329
1386	1385484	612330
1387	1386474	611327
1388	1387494	610337
1389	1388499	609341
1390	1389491	608339
1391	1390506	607347
1392	1391509	606350
1393	1392496	605346
1394	1393477	604339
1395	1394461	603334
1396	1395455	602333
1397	1396455	601335
1398	1397431	600326
1399	1398435	599329
1400	1399445	598335
1401	1400445	597336
1402	1401440	596336
1403	1402435	595335
1404	1403431	594335
1405	1404426	593335
1406	1405423	592335
1407	1406417	591334
1408	1407408	590332
1409	1408408	589333
1410	1409417	588339
1411	1410406	587336
1412	1411394	586333
1413	1412388	585332
1414	1413377	584329
1415	1414369	583327
1416	1415367	582328
1417	1416383	581336
1418	1417364	580330
1419	1418356	579328
1420	1419357	578330
1421	1420350	577329
1422	1421340	576327
1423	1422337	575327
1424	1423335	574328
1425	1424336	573330
1426	1425351	572338
1427	1426369	571346
1428	1427364	570346
1429	1428354	569344
1430	1429370	568352
1431	1430385	567359
1432	1431377	566358
1433	1432385	565362
1434	1433382	564363
1435	1434377	563362
1436	1435391	562369
1437	1436383	561368
1438	1437370	560364
1439	1438374	559367
1440	1439366	558366
1441	1440358	557364
1442	1441371	556371
1443	1442372	555373
1444	1443378	554377
1445	1444388	553382
1446	1445400	552388
1447	1446387	551385
1448	1447402	550392
1449	1448396	549391
1450	1449376	548385
1451	1450378	547387
1452	1451384	546391
1453	1452368	545387
1454	1453361	544386
1455	1454354	543385
1456	1455347	542384
1457	1456340	541383
1458	1457327	540379
1459	1458314	539376
1460	1459303	538374
1461	1460317	537380
1462	1461339	536390
1463	1462376	535405
1464	1463377	534407
1465	1464378	533409
1466	1465376	532410
1467	1466415	531425
1468	1467407	530424
1469	1468392	529420
1470	1469385	528419
1471	1470369	527415
1472	1471371	526417
1473	1472378	525421
1474	1473381	524423
1475	1474374	523422
1476	1475360	522419
1477	1476372	521425
1478	1477357	520421
1479	1478347	519419
1480	1479317	518410
1481	1480316	517411
1482	1481293	516405
1483	1482289	515405
1484	1483286	514405
